"","grade","content"
"110","10","부모님과 함께 봤는데, 모두 웃고 울고 즐거웠습니다. 영화관 안좋아하시는 우리 아버지가 덕분에 암벽등반했던 젊은 시절 추억이 생각났다고 좋아하셨어요.우리 엄마 자꾸 ""거긴 왜 가"" 소리치며 감정몰입하셔서 말리느라ㅋㅋ온가족이 재미있었어요"
"111","10","재밌음 가족영화"
"112","10","그냥 보세요돈 아깝지 않습니다.삶이 무기력하게 느껴지는 분께 특히 추천합니다."
"113","0","가볍게 보기 좋기에 평점이 높은거임. 대중이란 개돼지거든..."
"114","8","재미지게  잘  봤음.  윤아  고생 좀 했겠네.  ^^"
"115","10","주변에서 재미있다고 추천해서 보게된 영화....간만에 웃고 즐겁게 보았다.  배우들의 연기도 너무 리얼하고 재미있게 묘사해서 같이 웃고 울었다."
"116","8","마지막5분이 너무 아쉽다."
"117","10","결말을 알면서도 재미있었던 영화긴장감도 넘치고 기대를 안 했는데 시간 지나가는 줄 모르고 푹 빠져서 본 것 같네요."
"118","10","오랜만의 가족동반 재미있고 즐거운 시간"
"119","10","재밌네요... 시간 가는 줄 모르게 봤네요 ㅋ"
"120","10",""
"121","1","유치함 애들이나 좋아할 영화 내돈주고 안봐서 다행 감독이 산악부였던것이 분명"
"122","10","엄마가 좋아하셨어요..ㅋㅋ영화에서 배운 위급상황 대처법들을 다시 기억해봐야겠어요."
"123","9","두주먹 불끈쥐게하는 긴장감과 현실남매 케미~ 재미있어요"
"124","10","이건 꼭 봐야되요! 상상도 안되게 신선하니깐"
"125","9","난긴장감쩔어야할기어오르거나밧줄타는장면에서 지루하였음. 떨어지지않을줄알기때문에 긴장이 안된것같"
"126","10",""
"127","10","정말 재미 있었습니다.^^"
"128","5","그냥저냥 볼만한데 마지막에 급하게 끝낸 느낌이라 조금 싱거움"
"129","5","관객평이 너무 좋아서 너무 기대를 했던 탓인지 전 그닥 재미가 있지도 없지도 않는 무난한 영화였네요"
"130","0",""
"131","9","웃다가 울다가 했어요.윤아님, 고생하셨어오^^"
"132","10","재미있게 잘 봤어요"
"133","9","긴장감을 끝까지 놓칠수없었다 게다가 웃기기까지  전혀기대안했는데  졸시간도없이  보고나왔다"
"134","10","솔직히 별 기대 없이 보러 갔다가 정말 재밌게 보고 나왔음...특히 영웅으로 만들지 않고 나 보다 약자에게 양보하면서도 뒤돌아 왜, 왜, 하며 우는 장면은 압권이였음. ㅋㅋㅋ"
"135","0","지금까지    본  영화중에서  최악 ..     내용도  없고     빨리  끝나길   바랫을뿐..,,"
"136","10",""
"137","10","윤아랑 조정석 이랑 엄청 연기를 잘하네"
"138","10",""
"139","2","그냥   더우니 시원한곳에서 시간 보내면 됨.ㅋㅋ 600 만?"
"140","10","존잼"
"141","1","이런영화가 600만 넘은거에 분노한다그거보다 엄청나게 재밋어요 웃겨죽는줄알앗어요긴장감 쩔어요 이런댓글 다는 사람들에 더 분노"
"142","8","재밌드라. ㅎㅎㅎㅎㅎ 암 생각없이 재밌드라.  승환 형님의 '슈퍼히어로'를 꼭 듣고 나오길 당부"
"143","10","재밌다.."
"144","1","이걸 돈주고 봤다니..내가 도대체  무슨짓을 한거지?별점 1개주기도 아까운데"
"145","1","유치하기 짝이 없고.. 역시 아이돌 영화는 믿고 걸러야함. 윤아 발연기는 편집과 다른 배우들의 연기로 커버."
"146","10","전혀 지루하지 않았고 윤아가 생각보다 연기 잘해서 놀랐고요소 요소 재미와 감동도 약간 있었고 무엇보다 마지막 엔딩 끝나고 나왔던 드램팩토리 공장장님 노래가 좋았어요..젊으신 분들만 보러 오신건지 영화 끝나고 다 나가시던데 전 끝까지 듣고 나왔어요!!"
"147","10","최고다"
"148","5","입소문 때문에 기대하고 봤지만, 그닥 빵 터지는 장면은 없음. 그래도 조정석 연기 잘해서 5점.^^"
"149","10","군더더기없이 깔끔함"
"150","10",""
"151","10","가볍고 재미있게 시간 보내기 좋은 영화. 요즘처럼 더운 날씨에 무겁게 생각하게 하거나,  관객을 대상으로 역사의식 교육하듯 다루는 영화는 질색."
"152","1","참 심각하다 망작만 흥행하는 현실이"
"153","7",""
"154","9","한국형 재난영화 재밌네요"
"155","9","진부하지않고 과하지않은 스토리로 보고나면 깔끔한영화교육적으로도 보면 좋을~~~영화^^ 추천~!"
"156","10","긴장감과 코미디가 아주~~  굿굿"
"157","10","혹평하는 애들이 이해 안됨"
"158","1","전 20대 여자인데요따따따따따따 하면서 핸드폰 호출할때 정말 오글거려서 영화관 뛰쳐나갈뻔했구요잠깐만요 화살표  했을때 쥐구멍에 숨고싶었어요...."
"159","10","너무 재밌었어요 스트레스 확풀려요!  요런데다 글남기는거 처음!  강추"
"160","1","쓰레기 영화"
"161","10","너무재밌게봤어요"
"162","2",""
"163","10","추천합니다."
"164","8","약간 영화 '부산행'을 보았을 때랑 비슷한 느낌... 스토리는 크게 별거 없는데 진행되는 상황에 계속 쪼리면서 몰입되는게... 코미디 오락영화로써는 굿~!"
"165","10","한국적 가족애를 보여주는 전형적인 스토리 전개에도 불구하고 웃음과 눈물을 자아내게하는 재미있는 영화였다. 가족과 타의의 생존을 위해 목숨을 걸면서도 자신의 생존을 걱정하며 사랑을 느껴가는 시간들이 너무 즐거웠다. 돈이 아깝지 않고 시간이 아깝지 않은 영화이다"
"166","9","기대안하고 본영화...거짓말안하고 몰입해서 봤음.잼나던데요"
"167","8","조금 뻔뻔헌 스토리이지만 감동이랑 재미가 살려있어서 잼께 본 영호ㅏ"
"168","10","재난영화인데 재난영화 아닌듯 재미있게 잘 봤어요"
"169","10","눈물나게 많이 웃어서 힐링된 기분.가족드라마적 요소도 있어서 감동적이다.백수건 뭐건 결국 인성이 최고란 메시지도 탑재."
"170","10","재밌게 잘 봤네요 ㅎ"
"171","3","뻔한 배우들에 뻔한 연기와엉성하고 뻔한 스토리.새로울거 거의 없는 이런 허술한 영화가성공하다니 한탄스럽다.20대 초반 아가씨들은 넘 잼나다고 하니내가 진짜 아재로구나 ㅠ"
"172","9",""
"173","10",""
"174","10",""
"175","9",""
"176","8","개인적으로 이런 영화가 좋다.  추천합니다. !!"
"177","5","그냥 뻔한 스토리. 긴장감없고 다소 지루하고...  킬링타임용  오락영화"
